站點唯一 ID,站點 ID,站名,站點地址,經度,緯度
THB303047,303047,王厝寮,雲林縣水林鄉王厝寮4號旁,120.25994,23.56994
THB303049,303049,朝陽村站,苗栗縣造橋鄉朝陽村朝陽路78號,120.868503,24.651909
THB303050,303050,朝陽村站,苗栗縣造橋鄉朝陽村朝陽路66-1號,120.868585,24.651852
THB303051,303051,西湖,苗栗縣三義鄉西湖村上湖48號,120.758297,24.383113
THB303052,303052,農場,苗栗縣三義鄉八櫃42號,120.759076,24.376917
THB303053,303053,八櫃,苗栗縣三義鄉八櫃22-2號斜對面路燈桿(編號05415號),120.760289,24.374712
THB303054,303054,國民住宅,苗栗縣三義鄉八櫃25-11號(右側路燈桿_編號05405號),120.761391,24.373493
THB303055,303055,八櫃,苗栗縣三義鄉八櫃22-2號,120.76017,24.37516
THB303056,303056,農場,苗栗縣三義鄉八櫃42號旁雅聞香草植物工廠對面,120.759098,24.377058
THB303057,303057,西湖,苗栗縣三義鄉西湖村上湖56-3號,120.758327,24.383241
THB303061,303061,新坤,雲林縣東勢鄉新坤72-3號,120.2525,23.72098
THB303062,303062,新坤,雲林縣東勢鄉新坤72-3號對面,120.25254,23.7209
THB303086,303086,幸福轉運站,宜蘭縣宜蘭市宜興路一段119號對面,121.75655,24.7519
THB303087,303087,幸福轉運站,宜蘭縣宜蘭市宜興路一段117號,121.7563,24.75169
THB303096,303096,圓環(重慶),臺北市大同區重慶北路一段87號,121.514213,25.052901
THB303097,303097,防癆協會,臺北市大同區承德路三段17號,121.518462,25.063931
THB303098,303098,圓環(重慶),臺北市大同區重慶北路一段100號,121.514049,25.052881
THB303099,303099,大同國小,臺北市大同區承德路三段50號,121.518177,25.064979
THB303103,303103,彰化站,彰化縣彰化市三民路8號,120.539425,24.08204
THB303118,303118,經國轉運站,桃園市桃園區經國路801號,121.30022,25.02877
THB303119,303119,三育神學院,台灣南投縣魚池鄉台21線57K,120.93238,23.90025
THB303120,303120,三育神學院,台灣南投縣魚池鄉台21線57K,120.93261,23.90031
THB303122,303122,中興大學(國光路),臺中市南區國光路295~297號間,120.679458,24.121374
THB303123,303123,大里仁愛醫院(國光路),臺中市大里區國光路二段386號,120.67985,24.109825
THB303124,303124,大里仁愛醫院(國光路),臺中市大里區國光路二段361號,120.679899,24.10848
THB303132,303132,工藝中心,南投縣草屯鎮中正路573-6號,120.691818,23.979786
THB303134,303134,旭光高中,南投縣草屯鎮中正路568-23號,120.695114,23.979328
THB303135,303135,陽明交通大學光復校區南大門,交通大學工六館旁停車場,120.99469,24.786491
THB303136,303136,苗栗農工,苗栗縣苗栗市經國路二段491號(苗農校門口前),120.83438,24.55609
THB303137,303137,龍坑口,苗栗縣後龍鎮龍坑幹40A電桿,120.772447,24.589732
THB303138,303138,龍坑口,苗栗縣後龍鎮十班坑176之12號旁,120.772658,24.589769
THB303140,303140,經國轉運站,桃園市桃園區經國路801號,121.30022,25.02877
THB303141,303141,福安宮,雲林縣臺西鄉民權路71號前,120.200304,23.705482
THB303150,303150,省訓團,南投縣南投市光明路7號,120.701052,23.93778
THB303151,303151,臺北市區監理所,臺北市松山區八德路4段53號,121.559588,25.048415
THB303152,303152,慈鳳宮,N/A,120.486891,22.671115
THB303153,303153,潮州轉運站,屏東縣潮州鎮信義路111號,120.536467,22.550897
THB303154,303154,桃園後火車站,桃園火車站後站廣場前,121.31438,24.98844
THB303155,303155,宋天宮,桃園市桃園區桃鶯路91號,121.318043,24.987545
THB303156,303156,成功路口,桃園市桃園區春日路108號,121.31663,24.99454
THB303157,303157,鎮三街口,桃園市桃園區春日路278號,121.31455,24.99979
THB303158,303158,慈文路口,桃園市桃園區經國路與慈文路口,121.309804,25.010462
THB303159,303159,經國麗品,桃園市桃園區經國路223號對面,121.308083,25.012376
THB303160,303160,大興西新埔六街口,桃園市桃園區大興西路1段212號旁,121.30219,25.0133
THB303161,303161,中正藝文特區,桃園市桃園區中正路1086號,121.29926,25.01464
THB303163,303163,中正同德十一街口,桃園市桃園區中正路1388號旁,121.296198,25.021248
THB303164,303164,尊爵飯店,桃園市桃園區莊敬路1段311號,121.297524,25.024276
THB303165,303165,經國轉運站(幸福路口),桃園市桃園區經國路618號旁,121.30093,25.02781
THB303166,303166,捷運行天宮站(民生東路),台北市中山區民生東路二段150號,121.532472,25.057929
THB303167,303167,臺北大學(臺北校區),台北市中山區民生東路三段67號對面,121.54283,25.05766
THB303168,303168,松山機場,台北市松山區敦化北路340-9號8號公車停靠區,121.55132,25.06326
THB303169,303169,臺北大學(臺北校區),台北市中山區民生東路三段80號對面,121.54174,25.05793
THB303170,303170,捷運行天宮站(民生東路),台北市中山區民生東路二段125號,121.532048,25.057998
THB303171,303171,經國轉運站(水汴一路口),桃園市桃園區經國路857號,121.300541,25.030203
THB303172,303172,尊爵飯店,桃園市桃園區莊敬路1段328號,121.29673,25.02411
THB303173,303173,中正同德十一街口,桃園市桃園區中正路1263號,121.296178,25.020917
THB303175,303175,中正藝文特區,桃園市桃園縣中正路1005號,121.29937,25.01435
THB303176,303176,大興西新埔六街口,桃園市桃園區大興西路1段239號前,121.30241,25.01317
THB303177,303177,經國麗品,桃園市桃園區經國路233號,121.307456,25.01282
THB303178,303178,慈文路口,桃園市桃園區經國路與慈文路口,121.310003,25.009808
THB303179,303179,春日路口,桃園市桃園區春日路328號對面,121.313464,25.002196
THB303180,303180,鎮三街口,桃園市桃園區春日路325號,121.31451,24.99973
THB303181,303181,成功路口,桃園市桃園區春日路113號,121.31635,24.994784
THB303182,303182,宋天宮,桃園市桃園區桃鶯路89號,121.317909,24.987747
THB303183,303183,新港國中,嘉義縣新港鄉新中路，新港41南分1AK1512AC58電線桿斜對面,120.34341,23.55698
THB303184,303184,春日路口,桃園市桃園區春日路328號,121.31406,25.00138
THB303188,303188,麥寮,雲林縣麥寮鄉自強路75號對面,120.25639,23.74682
THB303189,303189,麥寮,雲林縣麥寮鄉自強路75號,120.25685,23.74702
THB303190,303190,經國轉運站(幸福路口),桃園市桃園區經國路618號,121.30093,25.02781
THB303191,303191,五結,宜蘭縣五結鄉國民中路2-8號旁,121.7913073,24.6902504
THB303228,303228,南京吉林路口,N/A,121.530545,25.052234
THB303229,303229,南京吉林路口,臺北市南京東路二段56號前公車專用道,121.52976,25.05202
THB303231,303231,卷木森活館,彰化縣鹿港鎮工業東三路路燈(東三 N06)旁往鹿工北二路方向約 20 公尺處,120.41161,24.08087
THB303232,303232,彰濱秀傳健康園區,彰化縣鹿港鎮鹿工北二路路燈(北二 W01)對面,120.412811,24.078118
THB303233,303233,卷木森活館,彰化縣鹿港鎮工業東三路路燈(東山 S05)旁往工業路方向約 20 公尺處,120.411564,24.080748
THB303234,303234,彰濱秀傳健康園區,彰化縣鹿港鎮鹿工北二路路燈(北二 W01)旁往工業東三路方向約 10 公尺處,120.412743,24.078117
THB303255,303255,施厝1,雲林縣崙背鄉豐榮村豐榮505號對面,120.293288,23.794545
THB303256,303256,施厝1,雲林縣崙背鄉豐榮村豐榮505號,120.293283,23.794458
THB303257,303257,西湖渡假村,車亭三義服務區(入口處左側),120.759199,24.390546
THB303258,303258,西湖渡假村,西湖渡假村(門口左側),120.759288,24.39071
THB303259,303259,復興大慶街口,台中市南區復興路一段359號,120.654509,24.114595
THB303260,303260,復興南平路口,402台中市南區復興路二段15號,120.659053,24.118545
THB303261,303261,復興南平路口,N/A,120.659671,24.119061
THB303262,303262,四育國中,N/A,120.665331,24.126451
THB303263,303263,彰化銀行(自由路),N/A,120.6819665,24.1397951
THB303264,303264,干城站,N/A,120.685759,24.141929
THB303266,303266,愛情大草原,嘉義縣番路鄉台18線33公里處,120.59122,23.44368
THB303267,303267,飛沙國小,雲林縣四湖鄉大同路32號,120.177227,23.642565
THB303268,303268,飛沙國小,雲林縣四湖鄉大同路32號對面,120.17729,23.642451
THB303269,303269,東羊稠,雲林縣四湖鄉東洋路180號對面,120.206397,23.638616
THB303270,303270,東羊稠,雲林縣四湖鄉東洋路180號,120.206423,23.638562
THB303272,303272,魚池,南投縣魚池鄉魚池街376號,120.93626,23.89708
THB303273,303273,大新中站,雲林縣西螺鎮大新185之3號前,120.491913,23.791091
THB303274,303274,大新中站,雲林縣西螺鎮大新185之3號斜對面,120.491799,23.791125
THB303284,303284,石門山,南投縣仁愛鄉臺14甲線33.4k,121.28426,24.146035
THB303285,303285,合歡山管理站,南投縣仁愛鄉松原巷11號對面,121.28715,24.16156
THB303286,303286,小風口,南投縣仁愛鄉台14甲線36.8K,121.28804,24.16289
THB303287,303287,石門山,南投縣仁愛鄉臺14甲線33.4k,121.284227,24.145965
THB303288,303288,合歡山管理站,南投縣仁愛鄉松原巷11號,121.28702,24.16162
THB303289,303289,師大分部,臺北市文山區羅斯福路五段72號,121.5378656,25.00833241
THB303290,303290,師大分部,臺北市文山區羅斯福路五段49號前,121.53909,25.00693
THB303291,303291,蘇澳轉運站,宜蘭縣蘇澳鎮蘇南里蘇南路15號,121.852635,24.595449
THB303296,303296,民權路口,臺中市西區民權路231號,120.669668,24.149223
THB303298,303298,大華嚴寺,南投縣鹿谷鄉和雅村愛鄉路34-1號對面,120.77911,23.69444
THB303326,303326,頂新街,南投縣名間鄉彰南路567之2號,120.691593,23.882296
THB303327,303327,頂新街,南投縣名間鄉彰南路577號對面,120.691945,23.881833
THB303328,303328,中投加油站,南投縣草屯鎮新豐路5號,120.678902,23.988011
THB303329,303329,中投加油站,南投縣草屯鎮新豐路5號對向,120.6791,23.98773
THB303332,303332,民權中山路,南投縣水里鄉民權路345345345、343號後門,120.8484204,23.8175167
THB303333,303333,民權中山路,南投縣水里鄉民權路345345345、343號後門對向(中山路上),120.8482648,23.8174603
THB303347,303347,省訓團,南投縣南投市光明路-高等研究園區路燈編號 3024 燈桿旁,120.701018,23.937818
THB303348,303348,蘇厝,苗栗縣頭份鎮流東幹55D9466CA82電線杆旁,120.963667,24.702485
THB303349,303349,蘇厝,苗栗縣頭份市公所路燈編號2570旁,120.963869,24.70246
THB303350,303350,大華嚴寺,南投縣鹿谷鄉和雅村愛鄉路34-1號,120.779174,23.694622
THB303357,303357,平和厝,雲林縣虎尾鎮平和16-1號,120.45596,23.70422
THB303358,303358,平和厝,雲林縣虎尾鎮平和16-1號,120.45596,23.70422
THB303375,303375,梅山正武宮,嘉義縣梅山鄉台灣省青果運銷合作社嘉南分社雙溪集貨場大門前,120.53642,23.55677
THB303376,303376,梅山正武宮,嘉義縣梅山鄉梅山正武宮前(頂雙溪41台電電桿旁),120.53637,23.55669
THB303380,303380,富景天下社區,基隆市安樂區麥金路66號,121.72609,25.116465
THB303381,303381,自強橋頭,基隆市安樂區麥金路166號,121.723018,25.119552
THB303382,303382,基隆長庚醫院,基隆市安樂區麥金路長庚醫院前候車亭,121.72188,25.120571
